"age","year","childs","zodiac"
48,2014,2,"libra"
53,2014,1,"sagittarius"
45,2014,2,"libra"
43,2014,3,NA
32,2014,1,"leo"
25,2014,2,"aquarius"
79,2014,1,"gemini"
55,2014,1,"pisces"
39,2014,2,"libra"
78,2014,2,"scorpio"
54,2014,3,"virgo"
20,2014,0,"scorpio"
72,2014,5,"virgo"
50,2014,1,"taurus"
79,2014,3,NA
89,2014,1,"virgo"
75,2014,1,"leo"
53,2014,2,"virgo"
47,2014,2,NA
75,2014,2,"aries"
48,2014,1,"scorpio"
63,2014,3,"sagittarius"
43,2014,3,"pisces"
31,2014,0,"cancer"
40,2014,1,"pisces"
74,2014,0,"capricorn"
48,2014,3,"pisces"
68,2014,0,"scorpio"
89,2014,2,"cancer"
24,2014,0,"sagittarius"
40,2014,1,"libra"
28,2014,0,"virgo"
18,2014,0,"aries"
33,2014,0,"taurus"
42,2014,1,"cancer"
35,2014,3,"virgo"
30,2014,1,"capricorn"
56,2014,2,"sagittarius"
40,2014,3,"sagittarius"
60,2014,2,"sagittarius"
40,2014,2,"aquarius"
35,2014,0,"virgo"
66,2014,5,"sagittarius"
58,2014,3,"taurus"
49,2014,3,"gemini"
59,2014,0,NA
30,2014,3,"leo"
63,2014,2,"sagittarius"
73,2014,0,"aquarius"
56,2014,4,"sagittarius"
26,2014,0,"leo"
26,2014,0,"leo"
20,2014,1,"aquarius"
51,2014,1,"aries"
39,2014,0,"leo"
58,2014,3,"scorpio"
86,2014,2,"pisces"
57,2014,2,"aquarius"
47,2014,2,"sagittarius"
53,2014,2,"aries"
37,2014,1,"gemini"
25,2014,0,"gemini"
54,2014,0,"aries"
64,2014,2,"leo"
37,2014,6,"gemini"
63,2014,3,"capricorn"
22,2014,0,"gemini"
30,2014,2,"cancer"
69,2014,2,"leo"
25,2014,1,"virgo"
56,2014,1,"leo"
25,2014,1,"leo"
55,2014,0,"libra"
27,2014,2,"gemini"
73,2014,2,"taurus"
53,2014,3,"leo"
25,2014,0,"cancer"
71,2014,3,"scorpio"
52,2014,3,"leo"
36,2014,1,"pisces"
22,2014,0,"gemini"
31,2014,0,"scorpio"
62,2014,0,"leo"
58,2014,0,"gemini"
25,2014,1,"scorpio"
23,2014,0,"leo"
20,2014,0,"cancer"
NA,2014,0,NA
19,2014,0,"leo"
73,2014,4,"virgo"
40,2014,2,"cancer"
73,2014,1,"libra"
44,2014,2,"virgo"
54,2014,2,"capricorn"
89,2014,2,"gemini"
68,2014,4,"aries"
67,2014,2,"scorpio"
